"set_counts.year","set_counts.station","set_counts.lat","set_counts.lon","set_counts.E_it","set_counts.N_it","set_counts.C_it","set_counts.E_it20","set_counts.N_it20","set_counts.C_it20","set_counts.usable"
1996,"9013",50.7316666666667,-128.880833333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"9014",50.6091666666667,-128.759166666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"9015",51.0666666666667,-129.465,4.9390001,0,0,NA,NA,NA,"Y"
1996,"9016",51,-129.3325,4.9390001,0,0,NA,NA,NA,"Y"
1996,"9017",51,-129.498333333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"9111",51.1983333333333,-128.165833333333,4.9390001,3,0.607410394666726,NA,NA,NA,"Y"
1996,"9112",51.0666666666667,-128.169166666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"9113",51,-128.000833333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"9114",51,-128.333333333333,4.9390001,1,0.202470131555575,NA,NA,NA,"Y"
1996,"9115",51.1983333333333,-128.6675,4.9390001,0,0,NA,NA,NA,"Y"
1996,"9116",51.1983333333333,-129.0025,4.9390001,0,0,NA,NA,NA,"Y"
1996,"9117",51.1333333333333,-128.833333333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"9118",51,-128.8325,4.9390001,3,0.607410394666726,NA,NA,NA,"Y"
1996,"9119",51.6,-128.5,4.9390001,0,0,NA,NA,NA,"Y"
1996,"9120",51.465,-128.498333333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"9121",51.4,-128.331666666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"9122",51.4,-128.666666666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"9123",51.4,-129.17,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10011",51.4,-130,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10211",51.1983333333333,-129.496666666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10212",51.6,-129.001666666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10213",51.6,-129.335,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10214",51.5316666666667,-129.169166666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10215",51.6,-129.83,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10216",51.465,-129.833333333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10217",51.4,-129.665833333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10218",52,-128.8325,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10219",51.9833333333333,-128.508333333333,4.9390001,10,2.02470131555575,NA,NA,NA,"Y"
1996,"10220",51.9333333333333,-128.666666666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10221",51.7983333333333,-128.6625,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10222",52,-129.333333333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10223",51.8666666666667,-129.333333333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10224",51.7983333333333,-129.169166666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10225",51.7983333333333,-129.5,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10226",52,-129.8325,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10227",52.0008333333333,-130.164166666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10228",51.9333333333333,-130.001666666667,4.9990001,0,0,NA,NA,NA,"Y"
1996,"10229",51.7983333333333,-130,4.9990001,0,0,NA,NA,NA,"Y"
1996,"10230",51.7983333333333,-130.498333333333,4.8179998,0,0,NA,NA,NA,"Y"
1996,"10231",52.4,-129.365,2.4690001,1,0.405022259820889,NA,NA,NA,"N"
1996,"10232",52.265,-129.331666666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10233",52.1983333333333,-129.166666666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10234",52.1991666666667,-129.4875,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10235",52.4,-129.834166666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"10236",52.1983333333333,-130.001666666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"11011",52.165,-131.398333333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"11012",52.1,-131.331666666667,4.9390001,0,0,NA,NA,NA,"N"
1996,"11013",52,-131.155,4.9390001,10,2.02470131555575,NA,NA,NA,"Y"
1996,"11014",52,-131.27,4.9390001,0,0,NA,NA,NA,"Y"
1996,"11211",52,-130.6675,4.8179998,0,0,NA,NA,NA,"Y"
1996,"11212",51.8666666666667,-130.661666666667,4.8179998,0,0,NA,NA,NA,"Y"
1996,"11213",51.7983333333333,-130.828333333333,4.0149999,0,0,NA,NA,NA,"Y"
1996,"11214",52.4,-130.168333333333,4.9390001,0,0,NA,NA,NA,"Y"
