,PFMA,YEAR,QBCatch,tonnes,annualEffort,totalEffort
181,PFMA 13,2000,10720,10.0768,40512,40512
182,PFMA 14,2000,1242,1.16748,24201,24201
183,PFMA 15,2000,832,0.78208,3348,3348
184,PFMA 16,2000,18108,17.02152,16470,16470
185,PFMA 17,2000,3014,2.83316,17269,17269
186,PFMA 18,2000,456,0.42864,8588,8588
187,PFMA 19,2000,1684,1.58296,15365,15365
188,PFMA 20,2000,1057,0.99358,41711,41711
189,PFMA 28,2000,1462,1.37428,9707,9707
190,PFMA 29,2000,1010,0.9494,6616,6616
191,PFMA 12,2001,2145,2.0163,10826,10826
192,PFMA 13,2001,9447,8.88018,42241,42241
193,PFMA 14,2001,4538,4.26572,23325,23325
194,PFMA 15,2001,981,0.92214,3707,3707
195,PFMA 16,2001,8393,7.88942,16200,16200
196,PFMA 17,2001,6521,6.12974,27241,27241
197,PFMA 18,2001,1129,1.06126,11933,11933
198,PFMA 19,2001,3360,3.1584,18996,18996
199,PFMA 20,2001,593,0.55742,44029,44029
200,PFMA 28,2001,110,0.1034,8223,8223
201,PFMA 29,2001,491,0.46154,7847,7847
202,PFMA 12,2002,213,0.20022,5016,5016
203,PFMA 13,2002,3501,3.29094,40330,40330
204,PFMA 14,2002,2199,2.06706,41881,41881
205,PFMA 15,2002,1218,1.14492,5333,5333
206,PFMA 16,2002,4816,4.52704,16855,16855
207,PFMA 17,2002,4820,4.5308,23132,23132
208,PFMA 18,2002,572,0.53768,10627,10627
209,PFMA 19,2002,1817,1.70798,20506,20506
210,PFMA 20,2002,1801,1.69294,46428,46428
211,PFMA 28,2002,278,0.26132,9930,9930
212,PFMA 29,2002,297,0.27918,7997,7997
213,PFMA 12,2003,1637,1.53878,14058,14058
214,PFMA 13,2003,1339,1.25866,31562,31562
215,PFMA 14,2003,1208,1.13552,18823,18823
216,PFMA 15,2003,693,0.65142,4378,4378
217,PFMA 16,2003,3489,3.27966,14788,14788
218,PFMA 17,2003,4389,4.12566,16510,16510
219,PFMA 18,2003,832,0.78208,9656,9656
220,PFMA 19,2003,959,0.90146,14201,14201
221,PFMA 20,2003,536,0.50384,43543,43543
222,PFMA 28,2003,93,0.08742,20828,20828
223,PFMA 29,2003,105,0.0987,8880,8880
224,PFMA 12,2004,1933,1.81702,16367,16367
225,PFMA 13,2004,844,0.79336,30288,30288
226,PFMA 14,2004,307,0.28858,10037,10037
227,PFMA 15,2004,562,0.52828,2482,2482
228,PFMA 16,2004,1832,1.72208,6489,6489
229,PFMA 17,2004,3301,3.10294,8756,8756
230,PFMA 18,2004,1100,1.034,5100,5100
231,PFMA 19,2004,1211,1.13834,14786,14786
232,PFMA 20,2004,1097,1.03118,48129,48129
233,PFMA 28,2004,46,0.04324,6931,6931
234,PFMA 29,2004,89,0.08366,4633,4633
235,PFMA 12,2005,2133,2.00502,18682,18682
236,PFMA 13,2005,614,0.57716,26246,26246
237,PFMA 14,2005,23,0.02162,6697,6697
238,PFMA 15,2005,64,0.06016,369,369
239,PFMA 16,2005,1799,1.69106,3552,3552
240,PFMA 17,2005,1128,1.06032,7198,7198
241,PFMA 18,2005,386,0.36284,3897,3897
242,PFMA 19,2005,645,0.6063,11816,11816
243,PFMA 20,2005,1258,1.18252,40952,40952
244,PFMA 28,2005,18,0.01692,6154,6154
245,PFMA 29,2005,43,0.04042,3353,3353
246,PFMA 12,2006,3812,3.58328,15900,15900
247,PFMA 13,2006,624,0.58656,22966,22966
248,PFMA 14,2006,100,0.094,6588,6588
249,PFMA 15,2006,507,0.47658,2014,2014
250,PFMA 16,2006,769,0.72286,1790,1790
251,PFMA 17,2006,1199,1.12706,7090,7090
252,PFMA 18,2006,1036,0.97384,6257,6257
253,PFMA 19,2006,1654,1.55476,14866,14866
254,PFMA 20,2006,648,0.60912,41785,41785
255,PFMA 28,2006,26,0.02444,5530,5530
256,PFMA 29,2006,12,0.01128,6509,6509
257,PFMA 12,2007,2503,2.35282,16737,16737
258,PFMA 13,2007,1362,1.28028,20011,20011
